word;count
away;60
run;36
cry;26
turn;24
boy;15
you;12
to;11
the;9
your;7
soul;7
a;7
and;6
never;5
in;4
on;4
leave;3
lonely;3
will;3
around;3
as;3
crying;3
morning;2
with;2
everything;2
own;2
little;2
black;2
case;2
alone;2
platform;2
wind;2
rain;2
sad;2
face;2
but;2
be;2
found;2
at;2
home;2
that;2
they'd;2
they;2
cried;2
them;2
just;2
mother;1
understand;1
why;1
had;1
answers;1
seek;1
love;1
need;1
pushed;1
kicked;1
always;1
were;1
one;1
talk;1
about;1
town;1
put;1
down;1
hard;1
would;1
try;1
hurt;1
make;1
no;1
null;0
